Chromossome	First_index	Last_index	Citoband	Unkown	Size	TandemRepeats_dens	STRs_dens	LTRs_dens	DRs_density	CDSs_density	CDSIntron_density	CDSExon_density	five_prime_UTRs_density	five_prime_UTRIntron_density	five_prime_UTRExon_density	three_prime_UTRs_density	three_prime_UTRIntron_density	three_prime_UTRExon_density	exons_density	SNP_density	Indel_density	Inserts_density	Deletes_density
chr1	0	2299999	p36.33	gneg	2299999	0.087516125	0.0063843506	0.0844761237	0.3263284028	0.0164673985	0.013391745	0.0030756535	0.0106639177	0.0051352196	0.0055286981	0.0263095767	0.0258534895	0.0004560872	0.1337491886	0.0219996	0.0064635	0.0015895659	0.0048995673
chr1	2300000	5299999	p36.32	gpos25	2999999	0.084077028	0.0139016713	0.0792226931	0.2815560939	0.006066002	0.0044896682	0.0015763339	0.0032736678	0.0017613339	0.0015123338	0.0197760066	0.0194056731	0.0003703335	0.0600123533	0.0334053	0.008639	0.002013334	0.0066586689
chr1	5300000	7099999	p36.31	gneg	1799999	0.0562355868	0.0129088961	0.0514211397	0.275410153	0.0102655613	0.0069033372	0.0033622241	0.005658892	0.0020733345	0.0035855575	0.0258483477	0.0257150143	0.0001333334	0.0560622534	0.0307045	0.0090194	0.002376668	0.006688337
chr1	7100000	9099999	p36.23	gpos25	1999999	0.0490815245	0.0132285066	0.0422165211	0.4048437024	0.005995503	0.0048210024	0.0011745006	0.0035685018	0.002070001	0.0014985007	0.0158745079	0.0157455079	0.0001290001	0.0342800171	0.028061	0.0095025	0.0024970012	0.0070435035
chr1	9100000	12499999	p36.22	gneg	3399999	0.0558808988	0.011071768	0.0489282497	0.4040474718	0.0097994146	0.0068658844	0.0029335303	0.004953825	0.0021764712	0.0027773538	0.0295529499	0.0285155966	0.0010373532	0.0660182547	0.0281591	0.0087679	0.0023220595	0.0064764725
chr1	12500000	15899999	p36.21	gpos50	3399999	0.0337294217	0.0087217673	0.0281373612	0.2619515476	0.0107173561	0.0053438251	0.005373531	0.0058923547	0.003097648	0.0027947067	0.0191311821	0.0186070643	0.0005241178	0.0453814839	0.0259488	0.0079121	0.0021567653	0.0057841193
chr1	15900000	20099999	p36.13	gneg	4199999	0.0330464364	0.0095273832	0.0273859589	0.3450357964	0.0087140497	0.006790954	0.0019230957	0.003632858	0.000961905	0.002670953	0.0222459577	0.0218076242	0.0004383334	0.0554371561	0.0280979	0.00772	0.0021057148	0.0056509537
chr1	20100000	23599999	p36.12	gpos25	3499999	0.0406634402	0.0094602884	0.0347634385	0.3645778185	0.008473431	0.0067662876	0.0017071433	0.0092328598	0.0044700013	0.0047628585	0.0314328661	0.0310631517	0.0003697144	0.0655985902	0.0268437	0.0085334	0.0021131435	0.0064497161
chr1	23600000	27599999	p36.11	gneg	3999999	0.0503850126	0.0090997523	0.0448607612	0.4653823663	0.0128812532	0.0102995026	0.0025817506	0.0086917522	0.0050100013	0.0036817509	0.0326617582	0.0317660079	0.0008957502	0.0746887687	0.025341	0.0083593	0.0021305005	0.0062562516
chr1	27600000	29899999	p35.3	gpos25	2299999	0.0522348053	0.0081769601	0.0476204555	0.2874822989	0.0076008729	0.0065665246	0.0010343483	0.0038178277	0.0011704353	0.0026473925	0.0273360988	0.0268765334	0.0004595654	0.0604122002	0.0252457	0.0084144	0.0022304358	0.0062191331
chr1	29900000	32299999	p35.2	gneg	2399999	0.0455121023	0.0116433382	0.0384470994	0.3413676422	0.0067266695	0.0055125023	0.0012141672	0.0038979183	0.0014333339	0.0024645844	0.0166737569	0.0162279234	0.0004458335	0.0489825204	0.0281667	0.0080833	0.0021079175	0.0060045858
chr1	32300000	34299999	p35.1	gpos25	1999999	0.0351855176	0.006090503	0.0313535157	0.2682801341	0.009912505	0.0085770043	0.0013355007	0.0052200026	0.0031485016	0.002071501	0.0372035186	0.0361185181	0.0010850005	0.0748665374	0.025777	0.0078875	0.001940501	0.005968503
chr1	34300000	39599999	p34.3	gneg	5299999	0.0369635919	0.0080528317	0.0317164211	0.2591866527	0.0104092472	0.0085620771	0.0018471702	0.0048937745	0.0026081137	0.0022856608	0.0293111376	0.0288467979	0.0004643397	0.0653581255	0.0262068	0.0079004	0.0019992457	0.0059254728
